ID,Address,Rooms,Type,Price,Date,Bathroom,Car,Landsize,Age,Lattitude,Longtitude
ID291554862,33 Barnett St,3,h,1260000.0,19/11/2016,2.0,2.0,250.0,119.0,-37.792,144.9324
ID783722176,31 Hooker Rd,3,h,412700.0,19/08/2017,1.0,1.0,299.0,14.0,-37.89513,144.64056000000005
ID250710045,49 Phoenix Dr,5,h,1223000.0,27/05/2017,3.0,2.0,762.0,7.0,-37.91199,145.18419
ID854302267,5 Glendale St,5,h,1975000.0,13/08/2016,2.0,2.0,641.0,18.0,-37.8354,145.1001
ID849127523,7/7 Chandler Hwy,2,t,650000.0,24/09/2016,1.0,0.0,0.0,59.0,-37.7848,145.025
ID777961543,63 Harrison St,3,t,937000.0,8/07/2017,2.0,1.0,110.0,19.0,-37.760490000000004,144.98065
ID771424254,2 Carrington St,3,h,1785000.0,3/09/2017,2.0,3.0,683.0,39.0,-37.80273,145.08392
ID843351088,7 Donnelly Ct,4,h,646000.0,29/04/2017,2.0,2.0,658.0,39.0,-37.7358,144.8217
ID452171316,18 Ethel St,2,h,1023000.0,3/09/2017,1.0,0.0,154.0,129.0,-37.77221,144.97537
ID492292390,41 Felix Cr,4,h,812000.0,12/08/2017,2.0,2.0,962.0,14.0,-37.80161,145.22151000000005
ID511888772,5 Pitt St,2,h,1440000.0,27/06/2016,1.0,1.0,687.0,79.0,-37.872,145.0692
ID388566722,7A Brunel St,3,t,815000.0,13/05/2017,2.0,2.0,148.0,69.0,-37.8287,144.8705
ID534973015,61 Murray Rd,2,h,550000.0,4/03/2017,1.0,1.0,0.0,129.0,-37.7358,144.9801
ID500235186,41 Saltley St,3,t,855000.0,27/11/2016,2.0,2.0,337.0,44.0,-37.8288,144.8681
ID401689731,71 Bignell Rd,4,h,1200000.0,7/05/2016,2.0,2.0,619.0,59.0,-37.9358,145.0688
ID778003771,116a Hannan St,3,h,975000.0,22/05/2016,2.0,2.0,289.0,8.0,-37.8593,144.8881
ID555203328,50 Canterbury St,2,h,827500.0,28/05/2016,1.0,0.0,127.0,119.0,-37.8251,145.0063
ID859347674,6/49 Osborne St,1,u,320000.0,18/03/2017,1.0,0.0,0.0,49.0,-37.8437,144.9904
