ID,Address,Suburb,Price,Type,Date,Rooms,Bathroom,Car,LandSize,Age,Latitude,Longitude,train_station_id,distance_to_train_station,travel_min_to_CBD,over_priced?,crime_A_average,crime_B_average,crime_C_average,closest_primary_school,distance_to_closest_primary,primary_school_ranking,closest_secondary_school,distance_to_closest_secondary,secondary_school_ranking
ID291554862,33 Barnett St,KENSINGTON,1260000.0,h,19/11/2016,3,2.0,2.0,250.0,119.0,-37.792,144.9324,20041,257.85914121380307,17.0,False,271.6666666666667,771.6666666666666,74.0,Kensington Primary School,427.4780851672121,116,Kensington Community High School,753.4245399690844,558
ID783722176,31 Hooker Rd,WERRIBEE,412700.0,h,19/08/2017,3,1.0,1.0,299.0,14.0,-37.89513,144.64056000000005,19921,1866.7409635023948,35.142857142857146,False,98.66666666666667,190.66666666666666,19.0,Manorvale Primary School,316.00640687898704,not ranked,Wyndham Central Secondary College,1356.126779378521,not ranked
ID250710045,49 Phoenix Dr,WHEELERS HILL,1223000.0,h,27/05/2017,5,3.0,2.0,762.0,7.0,-37.91199,145.18419,19914,4956.318776180233,37.0,False,990.0,3070.0,411.0,Waverley Meadows Primary School,307.5549460020778,not ranked,Wheelers Hill Secondary College,298.7305281383919,426
ID854302267,5 Glendale St,SURREY HILLS,1975000.0,h,13/08/2016,5,2.0,2.0,641.0,18.0,-37.8354,145.1001,19895,1257.9424722894153,25.5,False,2403.6666666666665,5212.333333333333,586.6666666666666,Wattle Park Primary School,840.3776688054921,89,Siena College Ltd,1552.8382841226091,50
ID849127523,7/7 Chandler Hwy,ALPHINGTON,650000.0,t,24/09/2016,2,1.0,0.0,0.0,59.0,-37.7848,145.025,19931,900.7796506002251,24.0,False,1202.0,5034.333333333333,333.0,Alphington Primary School,632.5440773467186,81,Alphington Grammar School,1096.8941368512285,86
ID777961543,63 Harrison St,BRUNSWICK EAST,937000.0,t,8/07/2017,3,2.0,1.0,110.0,19.0,-37.76049,144.98065,20015,1498.6994681073486,23.3,False,817.6666666666666,1779.6666666666667,181.0,Brunswick East Primary School,535.2628072484399,not ranked,Northcote High School,1717.3457594353101,178
ID771424254,2 Carrington St,BALWYN NORTH,1785000.0,h,3/09/2017,3,2.0,3.0,683.0,39.0,-37.80273,145.08392,19893,2433.2994208389778,23.76923076923077,False,959.0,4476.666666666667,324.0,Balwyn North Primary School,903.6029955667276,142,Balwyn High School,830.1964349106645,44
ID843351088,7 Donnelly Ct,KEALBA,646000.0,h,29/04/2017,4,2.0,2.0,658.0,39.0,-37.7358,144.8217,20002,2156.256684107884,31.375,False,591.6666666666666,1189.6666666666667,177.33333333333334,St Paul's Kealba Catholic School,293.2540220837883,386,St Albans Secondary College,1594.3884084889219,179
ID452171316,18 Ethel St,BRUNSWICK EAST,1023000.0,h,3/09/2017,2,1.0,0.0,154.0,129.0,-37.77221,144.97537,19968,1476.0204702342032,25.333333333333332,False,817.6666666666666,1779.6666666666667,181.0,Our Lady Help of Christians School,509.32512609666645,90,Sydney Road Community School,1219.8586227212943,447
ID492292390,41 Felix Cr,RINGWOOD NORTH,812000.0,h,12/08/2017,4,2.0,2.0,962.0,14.0,-37.80161,145.22151000000005,19902,1719.267888210643,38.41379310344828,False,119.33333333333333,452.3333333333333,22.0,Ringwood Heights Primary School,477.1849539475427,318,Norwood Secondary College,1430.6959820836314,219
